명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,주최자 정보,주최자 연락처,주관사 정보,주관사 연락처,행사시작일,행사종료일,공연시간,행사장소,이벤트 홈페이지,이용요금,할인정보,관람소요시간,관람가능연령,예매처,행사장 위치안내,부대행사,프로그램,상세정보,진행형태,축제형태
서울 미디어아트 페스티벌(SMAF),6164.0,옥외광고물 자유표시구역 민관합동협의회,02-6000-0114,서울특별시 강남구 영동대로 511 (삼성동),37.5103955843,127.0610512042,"2024 서울 미디어아트 페스티벌은 크리스마스 시즌의 따뜻한 분위기와 화려한 연출을 통해 도시의 밤을 밝히는 독창적인 미디어아트 축제이다. 한 해를 기념하는 크리스마스, 삼성동 무역센터 일대에 환상적인 크리스마스 빛의 광장이 조성된다.
메인 테마쇼는 공간 몰입형 미디어 테마쇼로, 삼성동 무역센터 일대의 옥외 미디어 광장 전체를 연동하여 압도적인 몰입감을 제공한다.
메인 테마쇼는 빛과 음악이 조화를 이루며 관객들에게 생생한 시각적 경험을 제공하는 것이 특징이다. 또한, 7개의 콘텐츠 파트너사와 함께하는 미디어 아트쇼는 다양한 국내외 미디어아트 작가들이 참여해 7일간 모두 다른 창의적이고 독창적인 미디어아트 콘텐츠로 구성되어 축제기간동안 예술적인 감동을 전달할 예정이다.",옥외광고물 자유표시구역 민관합동협의회,02-6000-0114,"WTCS, CJCGV, 파르나스호텔, 중앙일보, 현대백화점면세점, 현대퓨처넷, 인벤트파트너스",,20241219,20241225,11:30~21:30,삼성역 6번 출구 앞 광장,,무료,,,,,,,,"행사소개:2024 서울 미디어아트 페스티벌은 크리스마스 시즌의 따뜻한 분위기와 화려한 연출을 통해 도시의 밤을 밝히는 독창적인 미디어아트 축제이다. 한 해를 기념하는 크리스마스, 삼성동 무역센터 일대에 환상적인 크리스마스 빛의 광장이 조성된다.
메인 테마쇼는 공간 몰입형 미디어 테마쇼로, 삼성동 무역센터 일대의 옥외 미디어 광장 전체를 연동하여 압도적인 몰입감을 제공한다.
메인 테마쇼는 빛과 음악이 조화를 이루며 관객들에게 생생한 시각적 경험을 제공하는 것이 특징이다. 또한, 7개의 콘텐츠 파트너사와 함께하는 미디어 아트쇼는 다양한 국내외 미디어아트 작가들이 참여해 7일간 모두 다른 창의적이고 독창적인 미디어아트 콘텐츠로 구성되어 축제기간동안 예술적인 감동을 전달할 예정이다. 
행사내용:대표 프로그램 <br>
1. 메인 테마쇼<br>- 옥외 미디어 연동 멀티미디어 쇼 <The City of Christmas Star; 한 겨울, 도심에 등장한 크리스마스 별들의 신비로운 여행><br><br>
2. 미디어 아트쇼<br> - 7일간 매일 다른 주제, 다른 작품들로 구성된 미디어 아트쇼<br><br>
3. 공간 설치<br>
- 루미나리에 게이트(Luminaria): 시그니처 조형물 / 삼성역 6번출구 앞 대형 루미나리에 게이트 설치, SMAF 특화공간으로 조성<br>
- 멀티미디어 쇼 스테이지(show stage): 시그니처 쇼콘텐츠 / 미디어 광장 중앙에 대형 LED 스크린 설치, 시즌쇼 특화 스테이지 조성<br><br>
4. 체험 프로그램<br>
- 대형 위시 트리: 오너먼트 종이에 소원을 적고 트리에 걸어 SNS에 공유<br>
- 포토부스: 2024 SMAF 한정 프레임이 포함된 포토부스 설치, 가족·친구와 함께 촬영 후 SNS에 공유
",,
쁘띠프랑스 & 이탈리아마을 베니스 카니발 가면축제,12456.0,쁘띠프랑스 & 이탈리아마을,031-584-8200,경기도 가평군 청평면 호반로 1063쁘띠프랑스 & 이탈리아마을,37.7150574078,127.4909256481,"한국 안에 작은 유럽마을 쁘띠프랑스 & 이탈리아마을은, 2024~2025 겨울 시즌 동안 이탈리아 베니스 카니발 축제와 관련된 다양한 행사를 진행한다. 이탈리아에서 직수입한 다양한 가면 체험을 비롯하여 마리오네트 퍼포먼스 공연, 베니스 카니발 윈터 하우스 개장, 유럽 의상 체험을 비롯해 세계 오르골 시연과 체험 등을 경험할 수 있다. 인근 청평호반의 시원한 경치와 함께 쁘띠프랑스&이탈리아마을에 방문하여, 교육적이고 재미있는 문화행사를 가족, 연인과 함께 즐길 수 있다.",쁘띠프랑스 & 이탈리아마을,031-584-8200,,,20241206,20250228,09:00 ~ 18:00,쁘띠프랑스 & 이탈리아마을,,유료 (홈페이지 참조),,,,,,,,"행사소개:한국 안에 작은 유럽마을 쁘띠프랑스 & 이탈리아마을은, 2024~2025 겨울 시즌 동안 이탈리아 베니스 카니발 축제와 관련된 다양한 행사를 진행한다. 이탈리아에서 직수입한 다양한 가면 체험을 비롯하여 마리오네트 퍼포먼스 공연, 베니스 카니발 윈터 하우스 개장, 유럽 의상 체험을 비롯해 세계 오르골 시연과 체험 등을 경험할 수 있다. 인근 청평호반의 시원한 경치와 함께 쁘띠프랑스&이탈리아마을에 방문하여, 교육적이고 재미있는 문화행사를 가족, 연인과 함께 즐길 수 있다. 
행사내용:대표 프로그램 <br>
- 마리오네트 극 '피노키오의 모험', 손 인형극 '빨간망토' 공연<br>
- 윈터하우스 설치 및 베니스 카니발 축제 진행<br>
- 베니스가면 전시/체험, 유럽의상 전시/체험, 샌드아트 체험<br>
- 세계 오르골 전시, 시연 및 설명회, 체험<br>
- 유럽인형 300여점 전시, 엔티크 도자기 전시 
",,
농박여정 農博旅程,16429.0,국립농업박물관,031-324-9114,경기도 수원시 권선구 수인로 154 (서둔동)국립농업박물관 교육동,37.2746965149,126.9826871782,"개관 2주년을 축하하며 2024년 국농박의 주요 순간들을 다시 만나볼 수 있는 볼거리, 즐길거리가 가득한 프로그램을 제공한다.",국립농업박물관,031-324-9114,,,20241213,20241215,10:00~18:00(입장 마감 17:00),국립농업박물관 교육동,,무료,,,,,,,,"행사소개:개관 2주년을 축하하며 2024년 국농박의 주요 순간들을 다시 만나볼 수 있는 볼거리, 즐길거리가 가득한 프로그램을 제공한다.
행사내용:1. 전시 <br>
  ▶ 기증 특별전시 ‘이런 기증 참 좋다’ [전시동 중앙홀]<br>
   - 박물관에 기증한 자료를 만나볼 수 있는 전시 <br><br>

  ▶ 어반스케쳐스 수원 협업전시 ‘그리며 마주하는 박물관’ [전시동 중앙홀] <br>
   - 박물관의 계절과 풍경을 담은 스케치 작품 전시<br><br>

  ▶ 다랑이논?밭에서는요! [전시동 곤충관 앞] <br>
   - 한 해 동안 다랑이논?밭에서 이루어진 체험 활동과 재배한 농작물의 사진?영상 전시<br>
<br>
  ▶ 국가중요농업유산 조사 결과 보고 전시 ‘섬, 숲 그리고 마을’ [교육동 2층]<br>
   - 박물관에서 조사한 울릉, 울진, 상주의 국가중요농업유산 정보를 살펴볼 수 있는 전시<br>
   - 농민과 마을주민의 생생한 증언을 영상으로 만나보고 상주에서 가져온 전통 초가감타래와 곶감을 활용한 포토존에서 사진을 찍어 보기<br><br>

  ▶ 다랑이논 폐농자재 리사이클링 전시 [다랑이논] <br>
   - 폐비닐로 만든 대형 눈사람 전시<br><br>

2. 행사 <br>
  ▶ 박물관 개관 2주년 기념 음악회 [전시동 중앙홀] <br>
   - (일시) 12. 14.(토) 15:00~16:30/ 12. 15.(일) 15:00~16:30<br>
   - 박물관 유튜브에서 만나본‘김에스더&한율트리오’밴드와 함께하는 재즈 음악회<br><br>

  ▶ 우리집 보물찾기 [전시동 중앙홀, 교육동 식문화관]<br>
   - (일시) 12. 13.(금) ~ 12. 14.(토)<br>
   - 주변에서 흔히 볼 수 있는 농업유물을 박물관에서 직접 찾아 보며 미션 수행하고 기념품을 받아가기<br><br>

  ▶ 수원에서 만나는 창원 단감 [전시동 중앙홀] <br>
   - 창원 특산물인 단감을 화용한 전시, 체험, 포토존 즐기기<br>
   - 박물관에 놀러온 창원 단감 캐릭터(도깨비오남매 다니)와 박물관 태릭터(미오, 바미, 두두)와 사진 찍기 <br>
   - 단감 에코백 만들기(10:00~12:00/ 13:00~16:00, 1일 60명 선착순 참여)<br>
   - 단감 팔찌 만들기(0:00~12:00/ 13:00~16:00, 1일 60명 선착순 참여)<br><br>

  ▶ 농박 사진관 [전시동 중앙홀] <br>
   - 박물관에서 찍은 사진을 박물관 개관 2주년 기념 프레임에 인화하여 소장하기 <br><br>

3. 교육·체험<br>
  ▶ 겨울학기 프로그램 [교육동 교육실] <br>
   - (일시) 12. 14.(토) 13:00~14:40/ 온라인 사전 예약<br>
   - 겨울 농업의 모습 탐색 및 나만의 뒤주 만들기 교육프로그램<br>
    * 온라인 사전예약으로 진행되며 교육예약창은 12.2.(월) 17:00 오픈<br><br>

  ▶ 겨울학기 체험프로그램 [전시동 곤충관 앞, 교육동 식문화관]<br>
   - 겨울 농기구 가랜드 만들기(14:00~17:00)<br>
   - 농산물 모루 인형 만들기(14:00~17:00, 1일 60명 선착순 참여)<br>
   - 나만의 항아리 꾸미기(10:00~17:00, 식문화관)<br>
   - 수직농장, 가보자고(12.14.~15. 11:00~11:30/ 온라인 사전예약)<br>
    * 온라인 사전예약으로 진행되는 프로그램의 교육예약창은 12.2.(월) 17:00 오픈<br><br>

  ▶ 겨울맞이 어린이 체험프로그램 [전시동 어린이박물관]<br>
   - 박물관 캐릭터 머리띠 만들기(1일 100명 선착순 참여)<br>
   - 팥 손난로 만들기(10:30~11:30, 15:00~16:00, 1회 20명 현장 참여)
",,
사라온과 함께하는 사랑온설날,43114.0,군위군청,053-716-1288,대구광역시 군위군 군위읍 동서길 49사라온이야기마을,36.2361279163,128.5671382291,"2025 설날 연휴 삼일 동안 진행되는 사랑온 설날 축제이다.
조선의 역사와 문화, 선조들의 지혜와 슬기를 직접 체험해 볼 수 있는 행사장에서 낡은 유물로써의 전통이 아닌 우리 조상들이 살아온 양식이며 현재 우리생활에 녹아있는 삶의 양식으로써 전통을 다양한 콘텐츠와 체험,프로그램을 통해 함께 느끼고 체험할 수 있도록 운영한다.
아이들과 어른들이 모두 즐길 수 있는 것들로 구성되어 있으며 각종 기념품도 마련되어 있다.",군위군청,053-716-1288,사라온이야기마을,,20250128,20250130,10:30~16:30,사라온이야기마을,,무료,,,,,,,,"행사소개:2025 설날 연휴 삼일 동안 진행되는 사랑온 설날 축제이다.
조선의 역사와 문화, 선조들의 지혜와 슬기를 직접 체험해 볼 수 있는 행사장에서 낡은 유물로써의 전통이 아닌 우리 조상들이 살아온 양식이며 현재 우리생활에 녹아있는 삶의 양식으로써 전통을 다양한 콘텐츠와 체험,프로그램을 통해 함께 느끼고 체험할 수 있도록 운영한다.
아이들과 어른들이 모두 즐길 수 있는 것들로 구성되어 있으며 각종 기념품도 마련되어 있다.
행사내용:1. 메인프로그램 : 무대 공연 (오봉산 품바공연, 장기자랑, 양철인간 퍼포먼스)<br>
2. 부대프로그램 : 요술풍선 삐에로 아저씨, 포토존<br>
3. 소비자 참여 프로그램 : 떡방아 체험, 달고나체험, 연만들기, 나무문패만들기, 새해소원카드만들기, 드로잉아트월, 룰렛이벤트
",,
평창송어축제,25332.0,평창송어축제위원회,033-336-4000,강원특별자치도 평창군 진부면 경강로 3562,37.6332341484,128.5570176323,"우리 조상들은 매년 겨울이 되면 눈이 많이 내려 옆집까지 서로 줄을 메어놓고, 그 줄을 따라 눈 터널을 만들어 왕래를 하였고, 차가운 강바람에 개여울이 일찍 합강(合江)되면 강속의 큰 바위를 망치로 두드려 겨울 물고기를 사냥해서 한끼니를 때우던 그 어렵던 시절이 있었다. 바로 이곳에 우리 선조들의 삶의 핍박을 축제로 승화시켜 눈과, 얼음, 송어가 함께하는 겨울이야기 라는 주제로
매년 12월말부터 1월말까지 평창송어축제가 한마당 펼쳐진다. 얼음 위에서 보면 오대천에서 노니는 어류가 투명하게 보이는 가운데 송어낚시의 짜릿한 손맛을 느끼며 다양한 겨울체험 행사와 함께 진정한 겨울축제의 즐거움을 함께 느낄 수 있다.",평창송어축제위원회,033-336-4000,,,20250103,20250202,09:00 ~ 17:00,평창송어축제장,,유료,,자유,,,,,,"행사소개:우리 조상들은 매년 겨울이 되면 눈이 많이 내려 옆집까지 서로 줄을 메어놓고, 그 줄을 따라 눈 터널을 만들어 왕래를 하였고, 차가운 강바람에 개여울이 일찍 합강(合江)되면 강속의 큰 바위를 망치로 두드려 겨울 물고기를 사냥해서 한끼니를 때우던 그 어렵던 시절이 있었다. 바로 이곳에 우리 선조들의 삶의 핍박을 축제로 승화시켜 눈과, 얼음, 송어가 함께하는 겨울이야기 라는 주제로
매년 12월말부터 1월말까지 평창송어축제가 한마당 펼쳐진다. 얼음 위에서 보면 오대천에서 노니는 어류가 투명하게 보이는 가운데 송어낚시의 짜릿한 손맛을 느끼며 다양한 겨울체험 행사와 함께 진정한 겨울축제의 즐거움을 함께 느낄 수 있다.  
행사내용:얼음낚시, 텐트낚시, 어린이낚시터, 황금송어맨손잡기, 얼음광장체험놀이(눈썰매, 스노우래프팅, 얼음자전거, 아르고탑승체험, 스케이트등)
",선택안함,선택안함
대관령눈꽃축제,25343.0,대관령면축제위원회,033-335-3995,강원특별자치도 평창군 대관령로 135-9(대관령면),37.6726020057,128.7110497723,"30년 전, 대한민국 겨울의 중심 ‘대관령’의 청년 여럿이 모여 눈꽃축제를 만들었다. 1993년 시작된 ‘대관령눈꽃축제’는 전국에서 가장 먼저 탄생한 겨울축제로 30여 년의 역사를 자랑한다. 겨울철 비수기를 이겨내고 지역경제 활성화와 주민화합을 목표로 해마다 개최되고 있으며, 많은 관광객이 찾는 축제로 발전하였다. [눈동이와 함께 즐기는 눈꽃여행]을 주제로 펼쳐지는 올해 축제는 평창군의 마스코트인 ‘눈동이’와 함께 평창군의 겨울을 즐기는 테마로 구성되었다. 평창의 자연을 담은 눈조각과 겨울철 대관령의 모습을 그려낸 얼음조각, 아이들이 즐기기 좋은 다양한 체험행사를 대폭 늘린 ‘2025 대관령눈꽃축제’에서 겨울철 최고의 즐거움을 경험할 수 있다.",대관령면축제위원회,033-335-3995,,,20250124,20250202,10:00~17:00,대관령면 송천일원,,유료 (가격 홈페이지 참조),,,,,,,,"행사소개:30년 전, 대한민국 겨울의 중심 ‘대관령’의 청년 여럿이 모여 눈꽃축제를 만들었다. 1993년 시작된 ‘대관령눈꽃축제’는 전국에서 가장 먼저 탄생한 겨울축제로 30여 년의 역사를 자랑한다. 겨울철 비수기를 이겨내고 지역경제 활성화와 주민화합을 목표로 해마다 개최되고 있으며, 많은 관광객이 찾는 축제로 발전하였다. [눈동이와 함께 즐기는 눈꽃여행]을 주제로 펼쳐지는 올해 축제는 평창군의 마스코트인 ‘눈동이’와 함께 평창군의 겨울을 즐기는 테마로 구성되었다. 평창의 자연을 담은 눈조각과 겨울철 대관령의 모습을 그려낸 얼음조각, 아이들이 즐기기 좋은 다양한 체험행사를 대폭 늘린 ‘2025 대관령눈꽃축제’에서 겨울철 최고의 즐거움을 경험할 수 있다. 
행사내용:1. 메인프로그램 : 대형 눈조각, 초대형 눈터널<br>
2. 부대프로그램 : 황병산 멧돼지 얼음땡, 새해맞이 민속놀이, 대형 눈조각 포토존, 눈꽃썰매, 빙판놀이터, 눈놀이터, 야외구이터, 지역전통먹거리 등
",선택안함,선택안함
태백겨울축제,26043.0,재단법인 태백시문화재단,033-553-6900,강원특별자치도 태백시 소도동180,37.1157874148,128.9491897281,"1994년부터 시작된 태백산 눈 축제는 예로부터 풍부한 자원과 아름다운 자연경관으로 유명한 태백에 대표 겨울 축제다. 매년 새로운 테마로 눈 조각을 전시하여 관람하는 관광객들에게 새로움과 즐거움을 선사하며, 설경이 아름답기로 유명한 태백산에 장점을 살려 관광객들이 참여할 수 있는 등반 대회도 개최하는 등 시민들이 참여할 수 있는 프로그램을 진행한다.",재단법인 태백시문화재단,033-553-6900,,,20250207,20250216,09:00 ~ 18:00,"태백산국립공원, 황지연못 일원",,무료,,,,,,,,"행사소개:1994년부터 시작된 태백산 눈 축제는 예로부터 풍부한 자원과 아름다운 자연경관으로 유명한 태백에 대표 겨울 축제다. 매년 새로운 테마로 눈 조각을 전시하여 관람하는 관광객들에게 새로움과 즐거움을 선사하며, 설경이 아름답기로 유명한 태백산에 장점을 살려 관광객들이 참여할 수 있는 등반 대회도 개최하는 등 시민들이 참여할 수 있는 프로그램을 진행한다. 		
행사내용:1. 메인프로그램 : 개막식, 캐치!티니핑 아케이드존, 세계 대학생 조각대회, 태백산 눈꽃 등반대회<br>
2. 부대프로그램 : 황지연못 별빛 festa!(2024. 12. 20.~2025. 2. 28.)<br>
3. 소비자 참여 프로그램 : 눈썰매장, 회전 눈썰매, 눈꽃기차, 동계스포츠체험, 소원등, 소원나무 만들기 등<br>
4. 기타내용 : 지역상권 보호 및 연계를 위해 노점 등 먹거리 프로그램 미운영  
",선택안함,선택안함
양양송이연어축제,25030.0,양양군,033-671-3803,강원특별자치도 양양군 양양읍 일출로 589,38.0728789079,128.6235231224,양양송이연어축제는 소나무의 향을 늘씬 풍기는 송이와 남대천을 거슬러 오르는 힘찬 연어를 함께 맛볼 수 있는 축제다. 천혜의 자연환경 도시이자 핫한 트렌드의 대명사 양양에서 '산해진미'를 함께 즐길 수 있다.,양양군,033-671-3803,양양문화재단,,20241003,20241006,09:00~21:30,양양 남대천 일원,,무료,,,,,,,,"행사소개:양양송이연어축제는 소나무의 향을 늘씬 풍기는 송이와 남대천을 거슬러 오르는 힘찬 연어를 함께 맛볼 수 있는 축제다. 천혜의 자연환경 도시이자 핫한 트렌드의 대명사 양양에서 '산해진미'를 함께 즐길 수 있다.
행사내용:  - 공연 : 개폐막 축하공연 및 특별 퍼포먼스, 강변무대 공연, 프린지 공영, 청춘마이크, 버스킹 공연(20여개팀) 등<br>
  - 체험 : 연어맨손잡기, 송이연어 생태체험, 환대의 빛, 연어탁본, 탁장사, 카누, 송이시식회 등<br>
  - 부스 : 송이판매, 양양산 농특산물 판매, 일반 판매 및 체험, 음식판매, 공익(비영리 체험) 등<br>
  - 부대행사 : 한우촉진행사, 국화축제, 강원도 파크골프대회, 전국오픈 배드민턴대회, 전국 시니어 테니스대회 등
",선택안함,선택안함
전주국제한지산업대전,55000.0,전주시,063-281-1573,전북특별자치도 전주시 완산구 현무1길 20 (경원동3가)한지산업지원센터 1층,35.8208857643,127.1480254995,"1997년 시작으로 천년전주 한지의 우수성을 널리 알리고, 전통한지공예 경진대회를 통하여 전국의 우수 공예인을 발굴하는 한편, 전주한지 산업화에 기여한다. 한지가 가지는 다양한 기능을 문화로 재해석하여 천년동안 사람과 함께했던 한지를 축제를 통해 표현하고 전주한지의 비전을 제시하고 교류하는 축제이다.",전주시,063-281-1573,한국전통문화전당,,20241009,20241013,11:00~19:00,"한국전통문화전당, 전주종합경기장, 전주천년한지관",,무료,,,,,,,,"행사소개:1997년 시작으로 천년전주 한지의 우수성을 널리 알리고, 전통한지공예 경진대회를 통하여 전국의 우수 공예인을 발굴하는 한편, 전주한지 산업화에 기여한다. 한지가 가지는 다양한 기능을 문화로 재해석하여 천년동안 사람과 함께했던 한지를 축제를 통해 표현하고 전주한지의 비전을 제시하고 교류하는 축제이다.

행사내용:1. 메인프로그램<br>
 - 산업 : 한지역사주제관, 한지산업주제관, 한지비지니스관, 한지상품판매관<br>
 - 전시 : 국제종이문화기획전, 한지현대공예기획전, 제30회 전국한지공예대전 초대작가전, 외규장각 의궤반차도 닥종이 인형 전시<br><br>

2. 부대프로그램<br>
 - 문화 : 한지문화체험, 전국어린이한지미술대회, 국제한지패션쇼, 한지 빛의 향연, 제30회 전국한지공예대전(5월 종료)<br>
 - 이벤트 : 한지장과 함께하는 전통한지뜨기 시연회<br><br>

3. 특별프로그램<br>
- 국제 한지문화 특별전(독일 뮌헨)

",선택안함,선택안함
파주장단콩축제,10808.0,파주시,031-940-5281,경기도 파주시 문산읍 임진각로 177,37.8895929015,126.7402002968,"파주장단콩축제는 ""전통과 현대가 만나는 장단콩 이야기""라는 주제로 다양한 볼거리와 먹거리, 놀거리와 살거리로 구성되어있다.
볼거리부문은 파주장단콩 개발요리 전시관, 파주쌀 판매촉진을 위한 '밥맛시식회', 파주장단콩전시관과 버스킹·무대공연, 전시관 등 다양한 볼거리를 제공하며 정보제공 및 소통을 위한 홍보관도 함께 진행한다.
먹거리부문은 두부·빵·떡 등 즉석가공식품을 판매하고, 파주장단콩 특색 먹거리를 위한 시민단체가 운영하는 향토음식 판매점을 운영한다.
놀거리부문은 다양한 연령층이 참여를 위한 꼬마메주만들기, 콩타작체험, 고추장담그기, 김치담그기 등 유·무료 체험프로그램을 운영해 축제 분위기를 한층 끌어올릴 예정이다.
마지막 살거리부문은 생산이력제로 관리된 파주장단콩을 생산자가 소비자에게 직접 판매하는 장단콩판매장을 운영, 농업인이 직접 생산한 농산물을 판매하는 '재래장터'운영하여 지역명품인 파주장단콩의 품질 보증 및 신뢰성을 안겨준다.",파주시,031-940-5281,파주장단콩축제추진위원회,,20241122,20241124,09:00~17:00,파주임진각광장,,무료,,,,,,,,"행사소개:파주장단콩축제는 ""전통과 현대가 만나는 장단콩 이야기""라는 주제로 다양한 볼거리와 먹거리, 놀거리와 살거리로 구성되어있다.
볼거리부문은 파주장단콩 개발요리 전시관, 파주쌀 판매촉진을 위한 '밥맛시식회', 파주장단콩전시관과 버스킹·무대공연, 전시관 등 다양한 볼거리를 제공하며 정보제공 및 소통을 위한 홍보관도 함께 진행한다.
먹거리부문은 두부·빵·떡 등 즉석가공식품을 판매하고, 파주장단콩 특색 먹거리를 위한 시민단체가 운영하는 향토음식 판매점을 운영한다.
놀거리부문은 다양한 연령층이 참여를 위한 꼬마메주만들기, 콩타작체험, 고추장담그기, 김치담그기 등 유·무료 체험프로그램을 운영해 축제 분위기를 한층 끌어올릴 예정이다.
마지막 살거리부문은 생산이력제로 관리된 파주장단콩을 생산자가 소비자에게 직접 판매하는 장단콩판매장을 운영, 농업인이 직접 생산한 농산물을 판매하는 '재래장터'운영하여 지역명품인 파주장단콩의 품질 보증 및 신뢰성을 안겨준다. 
행사내용:1. 메인프로그램 <br>
 - 꼬마메주만들기, 콩타작 체험<br>
 - 고추장·김치 담그기 체험<br>
 - 7080체험(의상대여 및 체험프로그램 운영)<br><br>
2. 부대프로그램 <br>
 - 파주장단콩축제 개막식(개막공연)<br>
 - 번영과 화합의 한마당(폐막공연)<br>
 - 파주 지역 예술인 버스킹 무대<br><br>
3. 기타 내용<br>
 - 향토 전문음식점<br>
 - 농특산물, 가공식품 판매점, 유·무료 체험프로그램 등 운영
",선택안함,선택안함
얼음나라화천 산천어축제,24114.0,"화천군, 재단법인나라",1688-3005,강원특별자치도 화천군 화천읍 산천어길 137,38.1126818434,127.7099022603,"강원특별자치도 화천에서 열리는 얼음나라화천 산천어축제는 2011년 미국 CNN이 선정한 '겨울의 7대 불가사의' 중 하나로 꼽힌 이색 겨울축제다. 물 맑기로 유명한 화천천이 꽁꽁 얼어붙는 매년 1월에 축제가 열리며 얼음낚시, 맨손잡기 등으로 계곡의 여왕이라고 불리는 산천어를 잡는 체험을 할 수 있다. 산천어 얼음낚시의 손맛은 물론 바로 회나 구이로 맛있게 먹을 수 있고 낚시 외에도 얼음썰매, 눈썰매, 봅슬레이 등의 다양한 겨울놀이가 펼쳐져 매년 100만명 이상이 방문하고 있다.","화천군, 재단법인나라",1688-3005,,,20250111,20250202,9:00 ~ 18:00 (밤낚시 18:00 ~ 21:00),메인 축제장 - 화천천,,유료 (자세한 사항은 홈페이지 참조.),,,,,,,,"행사소개:강원특별자치도 화천에서 열리는 얼음나라화천 산천어축제는 2011년 미국 CNN이 선정한 '겨울의 7대 불가사의' 중 하나로 꼽힌 이색 겨울축제다. 물 맑기로 유명한 화천천이 꽁꽁 얼어붙는 매년 1월에 축제가 열리며 얼음낚시, 맨손잡기 등으로 계곡의 여왕이라고 불리는 산천어를 잡는 체험을 할 수 있다. 산천어 얼음낚시의 손맛은 물론 바로 회나 구이로 맛있게 먹을 수 있고 낚시 외에도 얼음썰매, 눈썰매, 봅슬레이 등의 다양한 겨울놀이가 펼쳐져 매년 100만명 이상이 방문하고 있다.
행사내용:산천어 체험 : 얼음낚시(현장/예약), 맨손잡기, 루어낚시<br>
눈/얼음 체험 : 눈썰매, 얼음썰매, 하늘가르기, 얼곰이성 미끄럼틀, 얼음축구, 컬링, 피겨 스케이트, 빙판 버블슈트<br>
문화/이벤트 : 축제 여는 마당, 화천 복불복 이벤트, 얼음나라 방송국, 호국이 체험존, 화천 관광 홍보관 등<br>
편의/안전 : 종합안내센터, 낚시 가이드, 몸녹임/유아쉼터, 이동 도우미, 의료 센터, 재난구조대, 화천소방서 등<br>
먹거리/살거리 : 산천어식당, 산천어 회센터/구이터, 향토주전부리장, 농특산물 판매점, 기념품 판매점 등<br>
연계 행사 및 관광지 : 선등거리 페스티벌, 세계 최대 실내 얼음조각광장, 화천 산천어 파크골프장, 산타우체국 한국 본점, 백암산 케이블카 등

",선택안함,선택안함
순천 낙안읍성 민속문화축제,57918.0,순천시,061-749-8831,전라남도 순천시 낙안면 충민길 30,34.9060980993,127.3417429744,"순천 낙안읍성의 전국 단위 최대 축제로, 600여년을 지켜온 역사성을 다양한 문화예술로 재현한 읍성만의 차별화된 축제이다.  조선 시대의 일상을 생생하게 재현하는 다양한 체험 프로그램과 관광객이 함께 즐길 수 있는 참여 프로그램으로 구성하였고, 방문한 관광객들에게 다양한 문화관광 콘텐츠를 제공한다.",순천시,061-749-8831,"(사)낙안읍성보존회, 민속문화축제추진위원회",,20241003,20241005,11:00~18:00,순천 낙안읍성,,"유료(50% 할인으로 인해 일반 성인 기준 2,000원)",,,,,,,,"행사소개:순천 낙안읍성의 전국 단위 최대 축제로, 600여년을 지켜온 역사성을 다양한 문화예술로 재현한 읍성만의 차별화된 축제이다.  조선 시대의 일상을 생생하게 재현하는 다양한 체험 프로그램과 관광객이 함께 즐길 수 있는 참여 프로그램으로 구성하였고, 방문한 관광객들에게 다양한 문화관광 콘텐츠를 제공한다.
행사내용:1. 개막식<br>
- 군악대 행진, 대북치기 퍼포먼스, 부임행렬, 개막주제공연<br><br>

2. 민속재현<br>
- 백중놀이, 성곽쌓기, 수문장교대식, 기마장군 순라의식<br><br>

3. 시민참여<br>
- 플래시몹 퓨전시대극, 윷놀이 경연대회, 큰줄다리기, 씨름대회<br><br>

4. 축제공연<br>
- 시립합창단, 판소리, 가야금병창, 조선마술사, 창작무용 등<br><br>

5. 부대행사<br>
- 생생 낙안읍성 캐릭터 퍼포먼스, 창극 ?김빈길 장군?, 전통혼례<br><br>

6. 상시행사<br>
 - 먹거리 및 체험 부스 운영, 전통생활용품 전시·판매 등
",선택안함,선택안함
